Country,GDP,Life expectancy,Unemployment rate
Afghanistan,"$19,101,353,833 ",64.5,11.12%
Albania,"$15,278,077,447 ",78.5,12.33%
Algeria,"$169,988,236,398 ",76.7,11.70%
Andorra,"$3,154,057,987 ",,
Angola,"$94,635,415,870 ",60.8,6.89%
Antigua and Barbuda,"$1,727,759,259 ",76.9,
Argentina,"$449,663,446,954 ",76.5,9.79%
Armenia,"$13,672,802,158 ",74.9,16.99%
Australia,"$1,392,680,589,329 ",82.7,5.27%
Austria,"$446,314,739,528 ",81.6,4.67%
Azerbaijan,"$39,207,000,000 ",72.9,5.51%
The Bahamas,"$12,827,000,000 ",73.8,10.36%
Bahrain,"$38,574,069,149 ",77.2,0.71%
Bangladesh,"$302,571,254,131 ",72.3,4.19%
Barbados,"$5,209,000,000 ",79.1,10.33%
Belarus,"$63,080,457,023 ",74.2,4.59%
Belgium,"$529,606,710,418 ",81.6,5.59%
Belize,"$1,879,613,600 ",74.5,6.41%
Benin,"$14,390,709,095 ",61.5,2.23%
Bhutan,"$2,446,674,101 ",71.5,2.34%
Bolivia,"$40,895,322,865 ",71.2,3.50%
Bosnia and Herzegovina,"$20,047,848,435 ",77.3,18.42%
Botswana,"$18,340,510,789 ",69.3,18.19%
Brazil,"$1,839,758,040,766 ",75.7,12.08%
Brunei,"$13,469,422,941 ",75.7,9.12%
Bulgaria,"$86,000,000,000 ",74.9,4.34%
Burkina Faso,"$15,745,810,235 ",61.2,6.26%
Burundi,"$3,012,334,882 ",61.2,1.43%
Ivory Coast,"$58,792,205,642 ",57.4,3.32%
Cape Verde,"$1,981,845,741 ",72.8,12.25%
Cambodia,"$27,089,389,787 ",69.6,0.68%
Cameroon,"$38,760,467,033 ",58.9,3.38%
Canada,"$1,736,425,629,520 ",81.9,5.56%
Central African Republic,"$2,220,307,369 ",52.8,3.68%
Chad,"$11,314,951,343 ",54.0,1.89%
Chile,"$282,318,159,745 ",80.0,7.09%
China,"$19,910,000,000,000 ",77.0,4.32%
Colombia,"$323,802,808,108 ",77.1,9.71%
Comoros,"$1,185,728,677 ",64.1,4.34%
Republic of the Congo,"$10,820,591,131 ",64.3,9.47%
Costa Rica,"$61,773,944,174 ",80.1,11.85%
Croatia,"$60,415,553,039 ",78.1,6.93%
Cuba,"$100,023,000,000 ",78.7,1.64%
Cyprus,"$24,564,647,935 ",80.8,7.27%
Czech Republic,"$246,489,245,495 ",79.0,1.93%
Democratic Republic of the Congo,"$47,319,624,204 ",60.4,4.24%
Denmark,"$348,078,018,464 ",81.0,4.91%
Djibouti,"$3,318,716,359 ",66.6,10.30%
Dominica,"$596,033,333 ",76.6,
Dominican Republic,"$88,941,298,258 ",73.9,5.84%
Ecuador,"$107,435,665,000 ",76.8,3.97%
Egypt,"$303,175,127,598 ",71.8,10.76%
El Salvador,"$27,022,640,000 ",73.1,4.11%
Equatorial Guinea,"$11,026,774,945 ",58.4,6.43%
Eritrea,"$2,065,001,626 ",65.9,5.14%
Estonia,"$31,386,949,981 ",78.2,5.11%
Eswatini,"$3,791,304,348 ",,
Ethiopia,"$96,107,662,398 ",66.2,2.08%
Fiji,"$5,535,548,972 ",67.3,4.10%
Finland,"$268,761,201,365 ",81.7,6.59%
France,"$2,715,518,274,227 ",82.5,8.43%
Gabon,"$16,657,960,228 ",66.2,20.00%
The Gambia,"$1,763,819,048 ",61.7,9.06%
Georgia,"$17,743,195,770 ",73.6,14.40%
Germany,"$3,845,630,030,824 ",80.9,3.04%
Ghana,"$66,983,634,224 ",63.8,4.33%
Greece,"$209,852,761,469 ",81.3,17.24%
Grenada,"$1,228,170,370 ",72.4,
Guatemala,"$76,710,385,880 ",74.1,2.46%
